1	2000	speech
2001	7760	silence
7761	17040	speech
17041	17760	silence
17761	20480	speech
20481	20960	silence
20961	22080	speech
22081	22880	silence
22881	36240	speech
36241	36880	silence
36881	37280	speech
37281	42320	silence
42321	45840	speech
45841	50640	silence
50641	61840	speech
61841	62640	silence
62641	66160	speech
66161	66800	silence
66801	74880	speech
74881	86720	silence
86721	96320	speech
96321	96720	silence
96721	101200	speech
101201	117520	silence
117521	122640	speech
122641	123600	silence
123601	128880	speech
128881	129440	silence
129441	131920	speech
131921	132640	silence
132641	134640	speech
134641	135040	silence
135041	136480	speech
136481	136960	silence
136961	139760	speech
139761	140160	silence
140161	150640	speech
150641	152000	silence
152001	154240	speech
154241	155040	silence
155041	169440	speech
169441	170000	silence
170001	173360	speech
173361	173840	silence
173841	179600	speech
179601	180000	silence
180001	183280	speech
183281	200640	silence
200641	202160	speech
202161	207120	silence
207121	210720	speech
210721	211360	silence
211361	213280	speech
213281	213920	silence
213921	215920	speech
215921	216400	silence
216401	222480	speech
222481	229280	silence
229281	235200	speech
235201	235600	silence
235601	239920	speech
239921	240480	silence
240481	246240	speech
246241	250320	silence
250321	252000	speech
252001	253280	silence
253281	284320	speech
284321	289520	silence
289521	293120	speech
293121	296000	silence
296001	297600	speech
297601	298720	silence
298721	311920	speech
311921	319440	silence
319441	320240	speech
320241	322160	silence
322161	322640	speech
322641	323600	silence
323601	324240	speech
324241	325280	silence
325281	326000	speech
326001	326800	silence
326801	336960	speech
336961	338000	silence
338001	339200	speech
339201	340800	silence
340801	347200	speech
347201	354960	silence
354961	367600	speech
367601	368080	silence
368081	378400	speech
378401	380800	silence
380801	399360	speech
399361	411040	silence
411041	414400	speech
414401	417440	silence
417441	421040	speech
421041	421920	silence
421921	433360	speech
433361	434720	silence
434721	436640	speech
436641	437040	silence
437041	438400	speech
438401	440720	silence
440721	443920	speech
443921	445440	silence
445441	446720	speech
446721	447680	silence
447681	453600	speech
453601	455040	silence
455041	457280	speech
457281	457760	silence
457761	463360	speech
463361	464560	silence
464561	468640	speech
468641	469680	silence
469681	470240	speech
470241	470720	silence
470721	473600	speech
473601	474320	silence
474321	475360	speech
475361	476160	silence
476161	477200	speech
477201	478320	silence
478321	481120	speech
481121	482000	silence
482001	488720	speech
488721	490640	silence
490641	503840	speech
503841	517440	silence
517441	518000	speech
518001	519040	silence
519041	521040	speech
521041	522560	silence
522561	524400	speech
524401	525040	silence
525041	534880	speech
534881	535280	silence
535281	536240	speech
536241	537120	silence
537121	538960	speech
538961	540560	silence
540561	547360	speech
547361	548720	silence
548721	549440	speech
549441	550720	silence
550721	561760	speech
561761	563040	silence
563041	571280	speech
571281	572640	silence
572641	574320	speech
574321	574960	silence
574961	579280	speech
579281	580400	silence
580401	581440	speech
581441	582000	silence
582001	582960	speech
582961	587520	silence
587521	600160	speech
600161	600880	silence
600881	602400	speech
602401	603440	silence
603441	609600	speech
609601	610400	silence
610401	612160	speech
612161	613040	silence
613041	614080	speech
614081	615680	silence
615681	617200	speech
617201	617600	silence
617601	619600	speech
619601	620000	silence
620001	621280	speech
621281	621680	silence
621681	632880	speech
632881	642000	silence
642001	645200	speech
645201	645840	silence
645841	646800	speech
646801	647440	silence
647441	655040	speech
655041	655520	silence
655521	662320	speech
662321	662720	silence
662721	664400	speech
664401	665280	silence
665281	666000	speech
666001	667280	silence
667281	671520	speech
671521	674640	silence
674641	680960	speech
680961	684560	silence
684561	685360	speech
685361	685760	silence
685761	686800	speech
686801	687520	silence
687521	689840	speech
689841	690560	silence
690561	692160	speech
692161	696400	silence
696401	702000	speech
702001	719520	silence
719521	720720	speech
720721	735040	silence
735041	735760	speech
735761	756320	silence
756321	757040	speech
757041	758880	silence
